source_AGI,target_AGI,type,n_mentions,pubmedID,source_symbol,target_symbol
AT5G62470,AT5G37300,GRN_regulates,3,37936930,MYB96,WSD1
AT5G47670,AT1G21970,GRN_represses,3,12509518,NFYB6,NFYB9
AT2G36270,AT1G03790,GRN_activates,3,24326588,ABI5,SOM
AT1G32640,AT2G46770,GRN_activates,2,35927944,MYC2,NAC043
AT2G46770,AT4G13540,GRN_represses,2,30911018,NAC043,
AT2G31500,AT2G25600,GRN_regulates,2,32117382,CPK24,AKT6
AT4G27410,AT2G33380,GRN_activates,2,36710321,RD26,PXG3
AT1G32640,AT5G24780,GRN_regulates,2,24416038,MYC2,VSP1
AT3G54500,AT1G68050,GRN_activates,2,24592314,,ADO3
AT5G24470,AT3G54500,GRN_represses,2,33138078,APRR5,
AT5G39610,AT2G30250,GRN_represses,2,32038695,NAC92,WRKY25
AT2G30250,AT5G07100,GRN_regulates,2,32038695,WRKY25,WRKY26
AT5G07100,AT2G38470,GRN_regulates,2,32038695,WRKY26,WRKY33
AT5G39050,AT1G65450,GRN_activates,2,33600798,PMAT1,
AT1G47710,AT4G16515,GRN_represses,2,27315833,,RGF6
AT2G46830,AT1G29920,GRN_regulates,2,19060255,CCA1,LHCB1.1
AT1G45249,AT5G52310,GRN_activates,2,31147630,ABF2,RD29A
AT5G65410,AT3G18960,GRN_activates,2,32668199,ZHD1,
AT3G18960,AT4G37930,GRN_activates,2,32668199,,SHM1
AT2G45660,AT5G60910,GRN_activates,2,30946745,SOC1,AGL8
AT5G16540,AT1G69120,GRN_activates,2,26528302,ZFN3,AP1
AT5G26920,AT2G47190,GRN_regulates,2,28253311,CBP60G,ATMYB2
AT5G42800,AT4G22880,GRN_regulates,2,21849042,DFRA,LDOX
AT3G54610,AT1G21970,GRN_regulates,2,35269485,HAG1,NFYB9
AT1G69600,AT5G51070,GRN_activates,2,34113493,ZHD11,CLPD
AT3G01970,AT5G45890,GRN_activates,2,34371583,WRKY45,SAG12
AT1G19850,AT5G10510,GRN_activates,2,26459062,ARF5,AIL6
AT5G25610,AT1G32640,GRN_activates,2,28125637,RD22,MYC2
AT1G77120,AT2G47190,GRN_activates,2,28125637,ADH1,ATMYB2
AT1G23800,AT4G33070,GRN_activates,2,29777132,ALDH2B7,PDC1
AT2G36270,AT1G13260,GRN_regulates,2,30518173,ABI5,RAV1
AT5G39610,AT4G30270,GRN_activates,2,35371171,NAC92,XTH24
AT3G10520,AT4G39950,GRN_activates,2,28199692,AHB2,CYP79B2
AT1G17380,AT1G70700,GRN_activates,2,29966336,TIFY11A,JAZ9
AT2G34600,AT1G70700,GRN_activates,2,29966336,TIFY 5B,JAZ9
AT2G30250,AT2G14610,GRN_represses,2,17214894,WRKY25,PR1
AT2G34600,AT3G49620,GRN_activates,2,27241491,TIFY 5B,DIN11
AT2G34600,AT2G39030,GRN_activates,2,26896849,TIFY 5B,NATA1
AT1G30330,AT2G23170,GRN_regulates,2,31505771,ARF6,GH3.3
AT1G30330,AT5G54510,GRN_regulates,2,31505771,ARF6,GH3.6
AT5G37020,AT2G23170,GRN_regulates,2,31505771,ARF8,GH3.3
AT5G37020,AT5G54510,GRN_regulates,2,31505771,ARF8,GH3.6
AT1G48020,AT2G45220,GRN_represses,2,33029918,PMEI1,PME17
AT1G75040,AT4G35160,GRN_represses,2,34234798,PR5,ASMT
AT1G30135,AT5G13080,GRN_represses,2,33165597,TIFY5A,WRKY75
AT5G57620,AT2G36100,GRN_activates,2,33986765,MYB36,CASP1
AT5G57620,AT2G28670,GRN_regulates,2,33986765,MYB36,
AT3G56710,AT4G24740,GRN_activates,2,38273946,SIB1,AFC2
AT3G57260,AT4G24740,GRN_activates,2,38273946,BGL2,AFC2
AT2G29350,AT4G24740,GRN_activates,2,38273946,SAG13,AFC2
AT1G21410,AT4G11650,GRN_activates,2,34360680,SKP2A,OSM34
AT5G61420,AT4G13770,GRN_activates,2,23580754,MYB28,CYP83A1
AT5G07690,AT1G16410,GRN_activates,2,23580754,MYB29,CYP79F1
AT5G07690,AT4G13770,GRN_activates,2,23580754,MYB29,CYP83A1
AT2G36270,AT4G31500,GRN_regulates,2,27549907,ABI5,CYP83B1
AT1G18570,AT2G30770,GRN_activates,2,26379682,MYB51,CYP71A13
AT1G19660,AT1G19640,GRN_represses,2,32384799,BBD2,JMT
AT1G66350,AT3G57800,GRN_regulates,2,28591805,RGL1,BHLH60
AT5G13080,AT1G02220,GRN_regulates,2,35205352,WRKY75,NAC003
AT4G25490,AT2G42530,GRN_activates,2,33793923,DREB1B,COR15B
AT1G77760,AT1G37130,GRN_regulates,2,31438763,NIA1,NIA2
AT1G77300,AT1G61110,GRN_represses,2,19915673,EFS,NAC025
AT5G40350,AT5G08640,GRN_activates,2,33831169,MYB24,FLS1
AT5G37020,AT5G40350,GRN_activates,2,22346763,ARF8,MYB24
AT1G08970,AT2G36270,GRN_activates,2,27624486,NFYC9,ABI5
AT4G27410,AT3G11480,GRN_activates,2,33617121,RD26,BSMT1
AT5G12870,AT4G26220,GRN_activates,2,35154217,MYB46,
AT2G41940,AT1G69120,GRN_regulates,2,37216511,ZFP8,AP1
AT2G26650,AT1G73590,GRN_regulates,2,35008809,AKT1,PIN1
AT5G20730,AT4G03210,GRN_regulates,2,31626627,NPH4,XTH9
AT5G60850,AT3G54180,GRN_represses,2,27297966,DOF5.4,CDKB1-1
AT1G69690,AT1G15570,GRN_activates,2,27297966,TCP15,CYCA2-3
AT5G60850,AT4G37490,GRN_represses,2,27297966,DOF5.4,CYCB1-1
AT1G32640,AT5G51070,GRN_regulates,2,34398879,MYC2,CLPD
AT1G69120,AT5G60910,GRN_represses,2,26697035,AP1,AGL8
AT2G14610,AT3G52430,GRN_regulates,2,36498851,PR1,PAD4
AT4G24540,AT4G09960,GRN_represses,2,32824274,AGL24,STK
AT5G06960,AT3G09270,GRN_activates,2,33188435,TGA5,GSTU8
AT5G06960,AT1G17180,GRN_activates,2,33188435,TGA5,GSTU25
AT1G12610,AT5G52310,GRN_activates,2,27137403,DREB1F,RD29A
AT1G28470,AT1G32770,GRN_regulates,2,37816143,NAC010,NAC012
AT5G25610,AT3G55990,GRN_activates,2,28792629,RD22,ESK1
AT3G14440,AT3G55990,GRN_activates,2,28792629,NCED3,ESK1
AT5G59320,AT3G55990,GRN_activates,2,28792629,LTP3,ESK1
AT1G35720,AT1G80840,GRN_regulates,2,33419052,ANN1,WRKY40
AT1G74670,AT2G36270,GRN_regulates,2,33963401,GASA6,ABI5
AT2G44950,AT1G02205,GRN_activates,2,29506042,HUB1,CER1
AT1G55250,AT1G02205,GRN_activates,2,29506042,HUB2,CER1
AT3G54610,AT1G02190,GRN_regulates,2,29506042,HAG1,
AT5G23820,AT2G14610,GRN_activates,2,23314818,ML3,PR1
AT5G13630,AT1G80840,GRN_represses,2,23783410,CHLH,WRKY40
AT2G46830,AT5G36880,GRN_represses,2,30477118,CCA1,ACS
AT5G59320,AT5G59310,GRN_regulates,2,27135222,LTP3,LTP4
AT3G24650,AT3G11050,GRN_regulates,2,35599858,ABI3,FER2
AT2G42830,AT5G60910,GRN_represses,2,27776173,SHP2,AGL8
AT4G34410,AT1G80840,GRN_represses,2,34194459,ERF109,WRKY40
AT4G25490,AT5G15960,GRN_activates,2,35887354,DREB1B,KIN1
AT4G25470,AT2G42540,GRN_activates,2,35887354,DREB1C,COR15A
AT5G13790,AT3G61250,GRN_regulates,2,25666346,AGL15,AtMYB17
AT4G23810,AT3G56400,GRN_activates,2,32110879,WRKY53,WRKY70
AT3G56400,AT4G23810,GRN_activates,2,32110879,WRKY70,WRKY53
AT2G22670,AT3G51810,GRN_represses,2,32153614,IAA8,EM1
AT2G22670,AT2G40170,GRN_represses,2,32153614,IAA8,EM6
AT2G46830,AT5G22500,GRN_represses,2,30870980,CCA1,FAR1
AT4G22755,AT4G16890,GRN_activates,2,31854111,SMO1-3,SNC1
AT3G50310,AT1G29930,GRN_represses,2,36818282,MAPKKK20,LHCB1.3
AT1G32640,AT1G74930,GRN_activates,2,32170290,MYC2,ERF018
AT1G32640,AT5G13220,GRN_activates,2,32170290,MYC2,JAZ10
AT1G74930,AT5G42650,GRN_activates,2,33289292,ERF018,CYP74A
AT1G74930,AT3G25760,GRN_activates,2,33289292,ERF018,AOC1
AT1G74930,AT3G25780,GRN_activates,2,33289292,ERF018,AOC3
AT1G74930,AT2G06050,GRN_activates,2,33289292,ERF018,OPR3
AT1G32640,AT1G17420,GRN_activates,2,36546827,MYC2,LOX3
AT1G69690,AT4G16890,GRN_regulates,2,29250092,TCP15,SNC1
AT1G80840,AT3G26830,GRN_represses,2,23516362,WRKY40,CYP71B15
AT1G80840,AT1G30135,GRN_activates,2,23516362,WRKY40,TIFY5A
AT3G08500,AT5G44030,GRN_activates,2,25533953,MYB83,CESA4
AT1G32770,AT5G44030,GRN_activates,2,25533953,NAC012,CESA4
AT5G05410,AT1G52830,GRN_activates,2,36161329,DREB2A,IAA6
AT5G05410,AT3G15540,GRN_activates,2,36161329,DREB2A,IAA19
AT5G13790,AT1G13260,GRN_represses,2,24228871,AGL15,RAV1
AT5G13790,AT1G68840,GRN_activates,2,24228871,AGL15,RAV2
AT5G03545,AT3G54610,GRN_regulates,2,31401648,AT4,HAG1
AT4G18980,AT5G45890,GRN_activates,2,29378065,AtS40-3,SAG12
AT1G16880,AT5G04140,GRN_regulates,2,27411448,ACR11,GLU1
AT4G09820,AT3G51240,GRN_activates,2,37927409,TT8,F3H
AT4G09820,AT5G13930,GRN_regulates,2,37927409,TT8,CHS
AT2G42200,AT5G42800,GRN_represses,2,37797061,SPL9,DFRA
AT3G09600,AT2G20880,GRN_regulates,2,35003158,RVE8,ERF053
AT3G09600,AT4G28140,GRN_regulates,2,35003158,RVE8,ERF054
AT4G00180,AT2G45190,GRN_regulates,2,23025792,YAB3,YAB1
AT1G07000,AT3G52450,GRN_regulates,2,29329405,ATEXO70B2,PUB22
AT5G24930,AT2G45660,GRN_represses,2,31191575,COL4,SOC1
AT2G46830,AT3G19040,GRN_regulates,2,37626962,CCA1,TAF1
AT1G75540,AT3G24650,GRN_represses,2,24586210,BBX21,ABI3
AT3G54340,AT1G69120,GRN_activates,2,16789830,AP3,AP1
AT2G35260,AT4G22920,GRN_represses,2,32198392,,SGR1
AT1G75380,AT4G23600,GRN_activates,2,23393583,BBD1,CORI3
AT5G07690,AT1G16400,GRN_activates,2,31492889,MYB29,CYP79F2
AT5G39610,AT2G20570,GRN_represses,2,34777451,NAC92,GPRI1
AT1G14370,AT3G50950,GRN_activates,2,36212348,PBL2,RPP13L4
AT1G03790,AT1G18100,GRN_activates,2,30061395,SOM,MFT
AT5G39610,AT1G69490,GRN_activates,2,24659488,NAC92,NAC029
AT5G39610,AT5G18270,GRN_activates,2,24659488,NAC92,ANAC087
AT5G39610,AT2G33480,GRN_activates,2,24659488,NAC92,NAC041
AT1G69490,AT2G33480,GRN_activates,2,24659488,NAC029,NAC041
AT5G28770,AT3G47340,GRN_regulates,2,26263501,BZIP63,ASN1
AT5G28770,AT3G30775,GRN_regulates,2,26263501,BZIP63,POX1
AT4G34590,AT3G30775,GRN_activates,2,26263501,BZIP11,POX1
AT4G23810,AT5G05300,GRN_represses,2,35845701,WRKY53,
AT4G25490,AT3G59060,GRN_activates,2,36681861,DREB1B,PIF5
AT1G19850,AT2G45190,GRN_activates,2,37450945,ARF5,YAB1
AT3G56710,AT1G64860,GRN_represses,2,20040062,SIB1,SIGA
AT1G64860,ATCG00340,GRN_regulates,2,20040062,SIGA,PSAB
AT3G08500,AT1G32770,GRN_activates,2,36352868,MYB83,NAC012
AT2G38470,AT4G11650,GRN_regulates,2,37621885,WRKY33,OSM34
AT1G80840,AT2G38470,GRN_regulates,2,37621885,WRKY40,WRKY33
AT5G52310,AT4G34050,GRN_represses,2,33919418,RD29A,CCoAOMT1
AT5G51070,AT4G34050,GRN_represses,2,33919418,CLPD,CCoAOMT1
AT5G57620,AT2G47270,GRN_regulates,2,27891649,MYB36,UPB1
AT1G56650,AT2G37040,GRN_activates,2,32552683,MYB75,PAL1
AT2G20570,AT1G25440,GRN_activates,2,36597356,GPRI1,COL16
AT2G20570,AT1G73870,GRN_activates,2,36597356,GPRI1,COL7
AT1G68520,AT2G20570,GRN_regulates,2,36597356,COL6,GPRI1
AT3G21500,AT5G57710,GRN_activates,2,32355217,DXPS1,SMAX1
AT3G24650,AT3G51810,GRN_activates,2,32351536,ABI3,EM1
AT3G24650,AT2G40170,GRN_activates,2,32351536,ABI3,EM6
AT2G26190,AT1G80840,GRN_represses,2,29951071,IQM4,WRKY40
AT5G13630,AT2G36270,GRN_represses,2,29951071,CHLH,ABI5
AT5G50260,AT1G62710,GRN_represses,2,31858133,CEP1,bVPE
AT5G04140,AT1G69870,GRN_activates,2,20307264,GLU1,NPF2.13
AT5G13930,AT5G04140,GRN_activates,2,20307264,CHS,GLU1
AT2G30750,AT5G04140,GRN_regulates,2,20307264,CYP71A12,GLU1
AT5G57220,AT5G04140,GRN_regulates,2,20307264,CYP81F2,GLU1
AT5G36880,AT3G51770,GRN_activates,2,16091151,ACS,ETO1
AT4G21680,AT1G12110,GRN_activates,2,34685959,NPF7.2,NPF6.3
AT1G32770,AT1G17950,GRN_regulates,2,34162988,NAC012,MYB52
AT1G32770,AT4G33450,GRN_regulates,2,34162988,NAC012,ATMYB69
AT1G32770,AT4G22680,GRN_regulates,2,34162988,NAC012,MYB85
AT1G52890,AT3G51910,GRN_activates,2,30510557,NAC019,HSFA7A
AT3G63010,AT3G45970,GRN_activates,2,28628628,GID1B,EXLA1
AT3G63010,AT5G15230,GRN_represses,2,28628628,GID1B,GASA4
AT5G44610,AT2G14610,GRN_activates,2,29868051,PCAP2,PR1
AT1G30135,AT2G14610,GRN_activates,2,34868098,TIFY5A,PR1
AT1G12110,AT1G77690,GRN_represses,2,34357701,NPF6.3,LAX3
AT4G25490,AT5G13630,GRN_activates,2,26366569,DREB1B,CHLH
AT3G59400,AT5G13630,GRN_regulates,2,26366569,GUN4,CHLH
AT3G17040,ATCG00680,GRN_regulates,2,31732725,HCF107,PSBB
AT3G51860,AT2G38170,GRN_regulates,2,28645169,CAX3,CAX1
AT1G73590,AT3G54610,GRN_represses,2,36559684,PIN1,HAG1
AT1G27360,AT1G69120,GRN_activates,2,31905863,SPL11,AP1
AT3G01970,AT5G13080,GRN_represses,2,35893035,WRKY45,WRKY75
AT2G29490,AT1G17170,GRN_regulates,2,36232831,GSTU1,GSTU24
AT5G61420,AT5G48850,GRN_activates,2,27730214,MYB28,SDI1
AT3G24650,AT5G52310,GRN_activates,2,28174577,ABI3,RD29A
AT4G10310,AT1G22710,GRN_regulates,2,37267352,HKT1,SUC2
AT1G32640,AT4G27410,GRN_regulates,2,32296455,MYC2,RD26
AT5G42800,AT4G09820,GRN_represses,2,29261137,DFRA,TT8
AT4G22880,AT4G09820,GRN_represses,2,29261137,LDOX,TT8
AT3G56400,AT1G77300,GRN_activates,2,32218796,WRKY70,EFS
AT3G52430,AT1G77300,GRN_represses,2,32218796,PAD4,EFS
AT5G04340,AT5G43350,GRN_regulates,2,26557133,ZAT6,PHT1-1
AT2G45130,AT5G20150,GRN_regulates,2,26557133,SPX3,SPX1
AT1G65450,AT3G24650,GRN_activates,2,18278579,,ABI3
AT1G65450,AT2G36270,GRN_activates,2,18278579,,ABI5
AT1G65450,AT3G51810,GRN_activates,2,18278579,,EM1
AT1G65450,AT2G40170,GRN_activates,2,18278579,,EM6
AT4G23810,AT3G44680,GRN_represses,2,32687569,WRKY53,HDA9
AT3G26520,AT1G05010,GRN_regulates,2,29527219,TIP1-2,ACO4
AT4G28500,AT5G44030,GRN_activates,2,22133261,NAC073,CESA4
AT4G28500,AT5G60490,GRN_activates,2,22133261,NAC073,FLA12
AT4G09960,AT2G42830,GRN_regulates,2,25521508,STK,SHP2
AT4G38160,ATCG00740,GRN_activates,2,33391315,pde191,RPOA
AT5G22500,AT2G22240,GRN_activates,2,29930561,FAR1,IPS2
AT1G30330,AT1G73830,GRN_regulates,2,29897568,ARF6,BEE3
AT3G16770,AT1G73830,GRN_regulates,2,29897568,RAP2-3,BEE3
AT5G39610,AT5G13800,GRN_regulates,2,26218222,NAC92,PPH
AT4G22920,AT5G39610,GRN_represses,2,26218222,SGR1,NAC92
AT2G36270,AT4G37930,GRN_activates,2,32206789,ABI5,SHM1
AT4G37930,AT2G36270,GRN_regulates,2,32206789,SHM1,ABI5
AT4G18390,AT2G46830,GRN_activates,2,35327958,TCP2,CCA1
AT5G40350,AT5G46910,GRN_represses,2,33643367,MYB24,
AT2G34600,AT5G40350,GRN_regulates,2,33643367,TIFY 5B,MYB24
AT2G36270,AT5G52310,GRN_regulates,2,24163287,ABI5,RD29A
AT2G39250,AT2G36270,GRN_represses,2,23717657,SNZ,ABI5
AT2G42610,AT2G41225,GRN_represses,2,36650214,LSH10,
AT2G42610,AT2G36270,GRN_represses,2,36650214,LSH10,ABI5
AT5G13630,AT4G31780,GRN_represses,2,24966866,CHLH,MGD1
AT1G45249,AT1G65690,GRN_regulates,2,26849212,ABF2,NHL6
AT2G19500,AT5G05860,GRN_represses,2,27602043,CKX2,UGT76C2
AT5G21482,AT1G22400,GRN_represses,2,27602043,CKX7,UGT85A1
AT5G21482,AT5G05860,GRN_activates,2,27602043,CKX7,UGT76C2
AT2G42200,AT2G28550,GRN_represses,2,37147280,SPL9,RAP2.7
AT2G18550,AT2G46830,GRN_regulates,2,30886204,ATHB-21,CCA1
AT2G46830,AT1G32900,GRN_regulates,2,32607464,CCA1,GBSS1
AT3G54610,AT1G04240,GRN_regulates,2,33922251,HAG1,SHY2
AT3G54610,AT1G48100,GRN_regulates,2,33922251,HAG1,
AT5G51110,AT2G36270,GRN_regulates,2,34535070,ATP1,ABI5
AT1G66810,AT2G38470,GRN_activates,2,37789438,,WRKY33
AT3G61250,AT1G69120,GRN_activates,2,34290727,AtMYB17,AP1
AT5G60910,AT2G39250,GRN_represses,2,29422669,AGL8,SNZ
AT5G60910,AT2G28550,GRN_represses,2,29422669,AGL8,RAP2.7
AT5G13790,AT1G30330,GRN_represses,2,32899394,AGL15,ARF6
AT5G13790,AT5G37020,GRN_represses,2,32899394,AGL15,ARF8
AT4G23810,AT1G72520,GRN_represses,2,35887066,WRKY53,LOX4
AT5G13180,AT5G52310,GRN_activates,2,27933076,NAC083,RD29A
AT1G62710,AT4G16190,GRN_activates,2,35408924,bVPE,RD19C
AT2G42200,AT3G51240,GRN_represses,2,36786225,SPL9,F3H
AT2G46270,AT3G29575,GRN_regulates,2,28831141,GBF3,AFP3
AT3G29035,AT5G39610,GRN_regulates,2,21303842,NAC59,NAC92
AT5G13790,AT5G64310,GRN_represses,2,38075399,AGL15,AGP1
AT5G10510,AT4G03210,GRN_regulates,2,34013313,AIL6,XTH9
AT3G59060,AT1G52890,GRN_regulates,2,33830198,PIF5,NAC019
AT3G59060,AT5G59220,GRN_regulates,2,33830198,PIF5,SAG113
AT3G56710,AT5G13080,GRN_represses,2,34435636,SIB1,WRKY75
AT1G64860,ATCG00630,GRN_regulates,2,17175536,SIGA,PSAJ
AT2G44745,AT5G60910,GRN_regulates,2,37176133,WRKY12,AGL8
AT1G71030,AT4G09820,GRN_represses,2,31601032,ATMYBL2,TT8
AT5G64900,AT5G24770,GRN_regulates,2,35164659,PEP1,VSP2
AT5G64900,AT2G14610,GRN_activates,2,35164659,PEP1,PR1
AT1G17810,AT3G24650,GRN_regulates,2,26019256,TIP3-2,ABI3
AT1G69690,AT2G45660,GRN_activates,2,31795938,TCP15,SOC1
AT5G59780,AT1G12110,GRN_regulates,2,38046603,MYB59,NPF6.3
AT1G35720,AT1G70940,GRN_activates,2,35079328,ANN1,PIN3
AT5G65020,AT1G70940,GRN_activates,2,35079328,ANN2,PIN3
AT1G66390,AT4G22880,GRN_regulates,2,35701743,MYB90,LDOX
AT4G22920,AT1G48630,GRN_regulates,2,37376011,SGR1,RACK1B
ATCG00350,AT1G67840,GRN_regulates,2,31925322,PSAA,CSK
ATCG00440,AT1G67840,GRN_regulates,2,31925322,NDHC,CSK
AT1G27730,AT1G17420,GRN_represses,2,28716048,ZAT10,LOX3
AT3G54230,AT1G66980,GRN_regulates,2,25267732,SUA,SNC4
AT1G26945,AT1G19850,GRN_regulates,2,29114256,PRE6,ARF5
AT1G26945,AT5G37020,GRN_regulates,2,29114256,PRE6,ARF8
AT2G41100,AT1G77300,GRN_represses,2,25374573,CML12,EFS
AT5G20720,AT5G13630,GRN_represses,2,34712252,CPN20,CHLH
AT5G63460,AT1G70790,GRN_regulates,2,37960096,,CAR9
AT1G26250,AT2G06850,GRN_regulates,2,26257758,,XTH4
AT5G61590,AT5G13790,GRN_regulates,2,25534944,ERF107,AGL15
AT1G21970,AT3G15540,GRN_regulates,2,32079138,NFYB9,IAA19
AT3G08500,AT5G13180,GRN_activates,2,35885964,MYB83,NAC083
AT4G24510,AT1G68530,GRN_regulates,2,36115459,CER2,CUT1
AT1G18570,AT2G20610,GRN_activates,2,32082343,MYB51,SUR1
AT2G38470,AT2G22330,GRN_activates,2,32082343,WRKY33,CYP79B3
AT2G38470,AT1G18570,GRN_activates,2,32082343,WRKY33,MYB51
AT5G06640,AT1G64860,GRN_regulates,2,31245709,,SIGA
AT5G43750,AT1G64860,GRN_represses,2,31245709,PNSB5,SIGA
AT3G44680,AT3G51800,GRN_represses,2,27873573,HDA9,ATG2
AT4G38130,AT4G19170,GRN_activates,2,24904627,HDA19,CCD4
AT1G32870,AT3G22370,GRN_activates,2,34724278,ANAC13,AOX1A
AT2G22300,AT1G32640,GRN_regulates,2,27200054,CAMTA3,MYC2
AT4G25470,AT5G52310,GRN_activates,2,35109794,DREB1C,RD29A
AT4G25470,AT1G20440,GRN_activates,2,35109794,DREB1C,COR47
AT1G02900,AT5G05690,GRN_activates,2,24620000,RALF1,CYP90A1
AT2G38470,AT2G39200,GRN_regulates,2,28207847,WRKY33,MLO12
AT5G21150,AT4G09960,GRN_represses,2,33158925,AGO9,STK
AT1G04240,AT5G20730,GRN_represses,2,25566309,SHY2,NPH4
AT3G15540,AT5G20730,GRN_represses,2,25566309,IAA19,NPH4
AT3G23430,AT1G62300,GRN_represses,2,28338870,PHO1,WRKY6
AT5G44030,AT5G13220,GRN_represses,2,31792188,CESA4,JAZ10
AT1G69690,AT1G29460,GRN_activates,2,26147117,TCP15,
AT4G37900,AT2G40170,GRN_regulates,2,25653657,GRDP2,EM6
AT1G70940,AT3G26900,GRN_represses,2,29515603,PIN3,SKL1
AT2G01420,AT3G26900,GRN_represses,2,29515603,PIN4,SKL1
AT3G47340,AT4G34590,GRN_regulates,2,18841482,ASN1,BZIP11
AT3G25050,AT5G19530,GRN_activates,2,28443615,XTH3,ACL5
AT3G13890,AT5G54690,GRN_regulates,2,25120548,MYB26,GAUT12
AT5G60910,AT4G28520,GRN_activates,2,34828269,AGL8,CRC
AT1G79680,AT2G34600,GRN_represses,2,34063046,WAKL10,TIFY 5B
AT1G79680,AT1G30135,GRN_represses,2,34063046,WAKL10,TIFY5A
AT1G79680,AT3G56400,GRN_represses,2,34063046,WAKL10,WRKY70
AT3G23030,AT3G44750,GRN_activates,2,31337083,IAA2,HDT1
AT3G15540,AT3G44750,GRN_activates,2,31337083,IAA19,HDT1
AT3G55800,AT5G38420,GRN_regulates,2,27936496,SBPASE,RBCS-2B
AT5G47220,AT1G02920,GRN_activates,2,37298311,ERF2,GSTF7
AT4G32280,AT1G04240,GRN_regulates,2,19213814,IAA29,SHY2
AT1G32640,AT4G13250,GRN_activates,2,34579353,MYC2,NYC1
AT4G29080,AT5G42800,GRN_activates,2,27586417,IAA27,DFRA
AT2G14610,AT2G27040,GRN_regulates,2,31274236,PR1,AGO4
AT1G32640,AT1G77120,GRN_activates,2,17764576,MYC2,ADH1
AT5G62470,AT1G02205,GRN_regulates,2,34764971,MYB96,CER1
AT1G62990,AT2G37090,GRN_activates,2,34795688,KNAT7,IRX9
AT4G35450,AT5G36880,GRN_activates,2,31350932,AKR2,ACS
AT4G37930,AT1G73590,GRN_activates,2,26623515,SHM1,PIN1
AT2G36270,AT4G22920,GRN_activates,2,27021284,ABI5,SGR1
AT5G12870,AT2G46770,GRN_regulates,2,37372306,MYB46,NAC043
AT5G12870,AT3G61910,GRN_regulates,2,37372306,MYB46,NAC066
AT5G48650,AT1G80840,GRN_activates,2,30456348,,WRKY40
AT5G48650,AT4G12470,GRN_activates,2,30456348,,AZI1
AT4G34830,ATCG00490,GRN_activates,2,34037778,MRL1,RBCL
AT2G36270,AT5G15970,GRN_activates,2,35216467,ABI5,KIN2
AT5G47220,AT3G04720,GRN_activates,2,23226498,ERF2,HEL
AT2G45660,AT5G13800,GRN_represses,2,37789484,SOC1,PPH
AT4G38130,AT1G52890,GRN_activates,2,31681394,HDA19,NAC019
AT3G52430,AT3G26830,GRN_regulates,2,23847627,PAD4,CYP71B15
AT4G25490,AT1G20440,GRN_activates,2,31512008,DREB1B,COR47
AT4G25490,AT5G52310,GRN_activates,2,31512008,DREB1B,RD29A
AT4G18980,AT4G23810,GRN_activates,2,29035318,AtS40-3,WRKY53
AT3G20250,AT5G25610,GRN_represses,2,24666827,APUM5,RD22
AT5G59220,AT1G69490,GRN_regulates,2,27135336,SAG113,NAC029
AT2G46830,AT1G77760,GRN_activates,2,33362808,CCA1,NIA1
AT2G46830,AT1G37130,GRN_regulates,2,33362808,CCA1,NIA2
AT5G28640,AT4G37490,GRN_activates,2,33693822,GIF1,CYCB1-1
AT2G36270,AT1G73590,GRN_represses,2,32041112,ABI5,PIN1
AT2G44950,AT4G16890,GRN_regulates,2,24664204,HUB1,SNC1
AT2G18300,AT2G43060,GRN_represses,2,23221598,,IBH1
AT3G14440,AT2G38750,GRN_activates,2,20656895,NCED3,ANN4
AT2G38470,AT5G42800,GRN_represses,2,38229439,WRKY33,DFRA
AT3G59060,AT5G42800,GRN_represses,2,26259175,PIF5,DFRA
AT5G45890,AT5G63110,GRN_represses,2,18212027,SAG12,HDA6
AT4G30270,AT5G63110,GRN_represses,2,18212027,XTH24,HDA6
AT1G12110,AT5G50200,GRN_represses,2,16998085,NPF6.3,NRT3.1
AT2G05620,AT3G16250,GRN_activates,2,28364799,PGR5,PNSB3
AT2G36270,AT1G34180,GRN_regulates,2,26441053,ABI5,anac016
AT1G02900,AT3G29030,GRN_represses,2,25482784,RALF1,EXPA5
AT4G34750,AT5G02760,GRN_represses,2,31851355,,
AT1G72180,AT1G12110,GRN_regulates,2,36154719,CEPR2,NPF6.3
AT1G12110,AT3G24650,GRN_regulates,2,32933749,NPF6.3,ABI3
AT1G12110,AT2G36270,GRN_regulates,2,32933749,NPF6.3,ABI5
AT1G12110,AT5G66400,GRN_regulates,2,32933749,NPF6.3,RAB18
AT1G12110,AT5G52310,GRN_regulates,2,32933749,NPF6.3,RD29A
AT3G62260,AT4G10310,GRN_represses,2,32877013,,HKT1
AT3G24650,AT4G28520,GRN_activates,2,15695463,ABI3,CRC
AT1G21970,AT1G27461,GRN_activates,2,36083579,NFYB9,
AT5G39610,AT5G37020,GRN_activates,2,30415491,NAC92,ARF8
AT5G39610,AT2G01420,GRN_activates,2,30415491,NAC92,PIN4
AT3G47500,AT5G05410,GRN_regulates,2,28044345,CDF3,DREB2A
AT1G79040,AT4G21280,GRN_activates,2,16282331,PSBR,PSBQ1
AT5G13930,AT2G36270,GRN_regulates,2,38315238,CHS,ABI5
AT2G44950,AT2G46830,GRN_regulates,1,33589721,HUB1,CCA1
AT2G46770,AT5G54690,GRN_activates,1,23140549,NAC043,GAUT12
AT1G32770,AT3G14440,GRN_regulates,1,29973639,NAC012,NCED3
AT3G14440,AT1G32770,GRN_regulates,1,29973639,NCED3,NAC012
